date,away,home,period,time,challenging,challenge_type,result,link
3/8/20,CHI,BKN,3rd,4:20,BKN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_CHI_BKN_Brooklyn_Defensive_Foul_Challenge_030820
3/8/20,NOP,MIN,4th,7:39,MIN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_MIN_Minnesota_Defensive_Foul_Challenge_030820
3/8/20,LAL,LAC,4th,3:35,LAL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_030820
3/8/20,OKC,BOS,4th,5:25,BOS,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_BOS_Boston_Defensive_Foul_Challenge_030820
3/8/20,MIL,PHX,4th,2:46,MIL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_PHX_Milwaukee_Defensive_Foul_Challenge_030820
3/8/20,MIA,WAS,2nd,8:19,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_WAS_Miami_Defensive_Foul_Challenge_030820
3/8/20,MIA,WAS,4th,6:59,WAS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_WAS_Washington_Defensive_Foul_Challenge_030820
3/8/20,SAS,CLE,1st,3:38,CLE,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAS_CLE_Cleveland_Defensive_Foul_Challenge_030820
3/8/20,TOR,SAC,3rd,5:15,TOR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_SAC_Toronto_Offensive_Foul_Challenge_030820
3/7/20,DEN,CLE,4th,5:32,CLE,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_CLE_Cleveland_Defensive_Foul_Challenge_030720
3/6/20,SAS,BKN,1st,1:57,BKN,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAS_BKN_Brooklyn_Defensive_Foul_Challenge_030620
3/6/20,UTA,BOS,2nd,10:43,UTA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_BOS_Utah_Offensive_Foul_Challenge_030620
3/6/20,UTA,BOS,3rd,1:36,BOS,GT,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_BOS_Boston_Goaltending_Challenge_030620
3/6/20,MIA,NOP,2nd,1:50,NOP,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_NOP_New_Orleans_Defensive_Foul_Challenge_030620
3/6/20,POR,PHX,2nd,3:00,PHX,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_PHX_Phoenix_Offensive_Foul_Challenge_030620
3/6/20,POR,PHX,4th,6:47,POR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_POR_PHX_Portland_Defensive_Foul_Challenge_030620
3/5/20,DEN,CHA,2nd,:57,DEN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_CHA_Denver_Loose_Ball_Foul_Challenge_030520
3/5/20,DEN,CHA,4th,4:33,CHA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_CHA_Charlotte_Defensive_Foul_Challenge_030520
3/5/20,LAC,HOU,4th,9:55,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAC_HOU_LA_Clippers_Defensive_Foul_Challenge_030520
3/5/20,TOR,GSW,2nd,4:46,GSW,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_GSW_Golden_State_Defensive_Foul_Challenge_030520
3/4/20,ORL,MIA,2nd,2:51,ORL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_MIA_Orlando_Defensive_Foul_Challenge_030420
3/4/20,UTA,NYK,3rd,7:14,NYK,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_NYK_New_York_Defensive_Foul_Challenge_030420
3/4/20,WAS,POR,2nd,9:50,WAS,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_WAS_POR_Washington_Offensive_Foul_Challenge_030420
