date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
10/22/19,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,OT,20787,
10/22/19,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,,19068,
10/23/19,7:00p,Chicago Bulls,125,Charlotte Hornets,126,,15424,
10/23/19,7:00p,Detroit Pistons,119,Indiana Pacers,110,,17923,
10/23/19,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,,18846,
10/23/19,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,OT,17732,
10/23/19,7:30p,Memphis Grizzlies,101,Miami Heat,120,,19600,
10/23/19,7:30p,Boston Celtics,93,Philadelphia 76ers,107,,20422,
10/23/19,8:30p,Washington Wizards,100,Dallas Mavericks,108,,19816,
10/23/19,8:30p,New York Knicks,111,San Antonio Spurs,120,,18354,
10/23/19,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,,18306,
10/23/19,10:00p,Sacramento Kings,95,Phoenix Suns,124,,18055,
10/23/19,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,,19991,
10/24/19,7:00p,Atlanta Hawks,117,Detroit Pistons,100,,20338,
10/24/19,8:00p,Milwaukee Bucks,117,Houston Rockets,111,,18055,
10/24/19,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,,18064,
10/25/19,7:00p,Toronto Raptors,106,Boston Celtics,112,,18624,
10/25/19,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,,14879,
10/25/19,7:30p,New York Knicks,109,Brooklyn Nets,113,,17732,
10/25/19,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,,17794,
10/25/19,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,,17027,
10/25/19,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,,18203,
10/25/19,9:00p,Phoenix Suns,107,Denver Nuggets,108,OT,19557,
10/25/19,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,,17583,
10/25/19,10:30p,Utah Jazz,86,Los Angeles Lakers,95,,18997,
10/26/19,5:00p,Miami Heat,131,Milwaukee Bucks,126,OT,17467,
10/26/19,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,,16207,
10/26/19,7:30p,Orlando Magic,99,Atlanta Hawks,103,,17078,
10/26/19,7:30p,Boston Celtics,118,New York Knicks,95,,19812,
10/26/19,8:00p,Toronto Raptors,108,Chicago Bulls,84,,21498,
10/26/19,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,,19432,
10/26/19,8:00p,New Orleans Pelicans,123,Houston Rockets,126,,18055,
10/26/19,8:30p,Washington Wizards,122,San Antonio Spurs,124,,18354,
10/26/19,9:00p,Sacramento Kings,81,Utah Jazz,113,,18306,
10/26/19,10:00p,Los Angeles Clippers,122,Phoenix Suns,130,,15802,
10/27/19,3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,,18203,
10/27/19,6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,OT,15517,
